feature,importance
num__elo_diff,0.20445668046210858
num__elo_abs_diff,0.09069629885309617
num__matches_played_diff_pre,0.08274561454739521
num__away_elo_pre,0.08226556223053524
num__home_elo_pre,0.0720049107054457
num__away_matches_played_pre,0.053182687849557375
num__gd_avg_diff_5,0.0523741525178114
num__home_matches_played_pre,0.048012691885017715
num__ga_avg_diff_5,0.042111995207457904
num__home_gd_avg_5,0.029649550513044815
num__form_pts_diff_5,0.02950291057373036
num__away_gd_avg_5,0.028036503631850593
num__gf_avg_diff_5,0.027175956837751307
num__home_ga_avg_5,0.02660617050504157
num__away_ga_avg_5,0.023171200112429235
num__home_gf_avg_5,0.019808497791237657
num__away_gf_avg_5,0.01951286946423409
num__away_form_pts_5,0.019081563393634902
num__home_form_pts_5,0.018681707412760817
num__neutral,0.013361400971065019
num__is_qualifier,0.009632027946167028
num__is_friendly,0.007568922025332168
num__is_world_cup,0.0003601245632951767
